transaction_id,user_id_from,user_id_to,date,value
49,1931876,72344,2013-03-09 17:34:26,0.1
49,1931876,8258,2013-03-09 17:34:26,0.1
49,1931876,4692,2013-03-09 17:34:26,2.0
49,1931876,27,2013-03-09 17:34:26,0.1
49,1931876,5315,2013-03-09 17:34:26,0.1
49,1931876,813249,2013-03-09 17:34:26,0.1
49,1931876,1140299,2013-03-09 17:34:26,0.1
49,1931876,843857,2013-03-09 17:34:26,1.0
49,1931876,465,2013-03-09 17:34:26,1.0
49,1931876,27,2013-03-09 17:34:26,1.0
49,1931876,82,2013-03-09 17:34:26,0.1
49,1931876,1931181,2013-03-09 17:34:26,8.34132748
50,2509258,12332,2013-02-15 01:13:02,0.1
50,2509258,2508715,2013-02-15 01:13:02,2.5804949
50,2509258,3627,2013-02-15 01:13:02,0.1
50,2509258,80737,2013-02-15 01:13:02,1.0
50,2509258,942459,2013-02-15 01:13:02,2.0
50,2509258,9,2013-02-15 01:13:02,2.0
50,2509258,941096,2013-02-15 01:13:02,1.0
50,2509258,3627,2013-02-15 01:13:02,0.2
50,2509258,11594,2013-02-15 01:13:02,0.1
50,2509258,196868,2013-02-15 01:13:02,0.1
50,2509258,72112,2013-02-15 01:13:02,1.1
50,2509258,11,2013-02-15 01:13:02,0.1
50,2509258,13870,2013-02-15 01:13:02,0.1
50,2509258,64020,2013-02-15 01:13:02,1.0
51,532,72154,2012-12-05 09:17:43,1.0
51,532,39662,2012-12-05 09:17:43,0.2
51,532,9,2012-12-05 09:17:43,2.0
51,532,3627,2012-12-05 09:17:43,0.1
51,532,2660,2012-12-05 09:17:43,20.0
51,532,3888,2012-12-05 09:17:43,0.1
51,532,31559,2012-12-05 09:17:43,0.5
51,532,532,2012-12-05 09:17:43,0.01583686
51,532,806922,2012-12-05 09:17:43,0.1
51,532,1295133,2012-12-05 09:17:43,1.0
51,532,11,2012-12-05 09:17:43,0.2
51,532,1042069,2012-12-05 09:17:43,0.1
51,532,1903,2012-12-05 09:17:43,0.1
51,532,5315,2012-12-05 09:17:43,0.1
51,532,13870,2012-12-05 09:17:43,0.1
51,532,863170,2012-12-05 09:17:43,0.1
51,532,2402,2012-12-05 09:17:43,0.1
52,532,40106,2013-02-23 15:47:20,1.0
52,532,53495,2013-02-23 15:47:20,1.0
52,532,1380,2013-02-23 15:47:20,0.2
52,532,9,2013-02-23 15:47:20,2.0
52,532,2764,2013-02-23 15:47:20,7.0
52,532,3888,2013-02-23 15:47:20,0.1
52,532,58109,2013-02-23 15:47:20,5.0
52,532,864070,2013-02-23 15:47:20,0.1
52,532,37483,2013-02-23 15:47:20,0.1
52,532,2959,2013-02-23 15:47:20,0.1
52,532,11,2013-02-23 15:47:20,10.0
52,532,4068,2013-02-23 15:47:20,2.0
52,532,5315,2013-02-23 15:47:20,0.1
52,532,13870,2013-02-23 15:47:20,0.1
52,532,2305657,2013-02-23 15:47:20,19.0813192
52,532,1032632,2013-02-23 15:47:20,0.1
52,532,27,2013-02-23 15:47:20,1.0
52,532,1561165,2013-02-23 15:47:20,1.0
52,532,8672,2013-02-23 15:47:20,0.4
53,4120582,1770135,2012-11-20 07:11:11,0.1
53,4120582,335348,2012-11-20 07:11:11,1.0
53,4120582,11,2012-11-20 07:11:11,1.0
53,4120582,204642,2012-11-20 07:11:11,1.0
53,4120582,798742,2012-11-20 07:11:11,1.0
53,4120582,20,2012-11-20 07:11:11,3.0
53,4120582,9,2012-11-20 07:11:11,2.0
53,4120582,28673,2012-11-20 07:11:11,0.5
53,4120582,13555,2012-11-20 07:11:11,0.1
53,4120582,6062,2012-11-20 07:11:11,1.0
53,4120582,26920,2012-11-20 07:11:11,1.0
53,4120582,58109,2012-11-20 07:11:11,1.0
53,4120582,2658,2012-11-20 07:11:11,0.1
53,4120582,31559,2012-11-20 07:11:11,0.5
53,4120582,24986,2012-11-20 07:11:11,10.0
53,4120582,353726,2012-11-20 07:11:11,0.1
53,4120582,4558,2012-11-20 07:11:11,0.2
53,4120582,11,2012-11-20 07:11:11,0.1
53,4120582,64721,2012-11-20 07:11:11,0.1
53,4120582,27108,2012-11-20 07:11:11,0.1
53,4120582,286308,2012-11-20 07:11:11,1.0
53,4120582,986757,2012-11-20 07:11:11,0.3
53,4120582,11,2012-11-20 07:11:11,0.7
53,4120582,664,2012-11-20 07:11:11,0.1
53,4120582,5315,2012-11-20 07:11:11,0.1
53,4120582,327946,2012-11-20 07:11:11,0.5
53,4120582,4120168,2012-11-20 07:11:11,19.74270422
53,4120582,11,2012-11-20 07:11:11,1.0
53,4120582,4120583,2012-11-20 07:11:11,0.1
54,1374,1374,2012-06-14 14:43:51,86.22979356
54,1374,10,2012-06-14 14:43:51,1.0
55,10,782495,2013-04-10 14:22:50,1.81
56,10,10,2013-03-11 18:24:19,0.81
56,10,46,2013-03-11 18:24:19,0.19
57,1502458,1501442,2013-03-25 13:04:33,20.55
57,1502458,782496,2013-03-25 13:04:33,10.0
58,782496,782497,2013-04-10 14:22:50,1.0
58,782496,782498,2013-04-10 14:22:50,9.0
59,1158687,782499,2013-04-04 02:36:43,24.73
59,1158687,1158687,2013-04-04 02:36:43,49.84660622
60,782499,11,2013-04-10 14:22:50,24.73
61,782500,25,2013-04-08 13:39:23,0.05
61,782500,782500,2013-04-08 13:39:23,69.929
62,782500,782501,2013-04-10 14:22:50,60.0
62,782500,782500,2013-04-10 14:22:50,9.929
63,783366,783517,2013-04-10 14:20:16,1000.0
63,783366,782502,2013-04-10 14:20:16,21434.686
64,782502,782503,2013-04-10 14:22:50,20434.684
64,782502,782504,2013-04-10 14:22:50,1000.0
65,662031,782505,2011-09-21 08:03:14,0.28
65,662031,11,2011-09-21 08:03:14,6.72
66,782505,782506,2013-04-10 14:22:50,0.157
66,782505,782507,2013-04-10 14:22:50,0.123
67,25,12,2012-09-21 15:26:55,1.2345603
67,25,25,2012-09-21 15:26:55,0.3121897
68,12,782509,2013-04-10 14:22:50,0.32383801
68,12,782510,2013-04-10 14:22:50,1.45
69,7122,2918,2013-03-26 18:14:26,4.32620043
69,7122,3249,2013-03-26 18:14:26,8.28811257
69,7122,9886,2013-03-26 18:14:26,0.94548159
69,7122,1188627,2013-03-26 18:14:26,4.01483657
69,7122,30009,2013-03-26 18:14:26,3.98269873
69,7122,30009,2013-03-26 18:14:26,5.99765045
69,7122,3891,2013-03-26 18:14:26,2.82161345
69,7122,3891,2013-03-26 18:14:26,2.67017054
69,7122,3891,2013-03-26 18:14:26,2.42984766
69,7122,30009,2013-03-26 18:14:26,1.98066735
69,7122,320,2013-03-26 18:14:26,1.55909702
69,7122,320,2013-03-26 18:14:26,2.39337608
69,7122,471,2013-03-26 18:14:26,2.4412941
69,7122,10502,2013-03-26 18:14:26,0.74659759
69,7122,320,2013-03-26 18:14:26,1.16983813
69,7122,92684,2013-03-26 18:14:26,0.31069921
69,7122,6461,2013-03-26 18:14:26,0.34046941
69,7122,92685,2013-03-26 18:14:26,0.3855721
69,7122,841251,2013-03-26 18:14:26,0.52373318
69,7122,92686,2013-03-26 18:14:26,0.31068056
69,7122,9147,2013-03-26 18:14:26,0.28779805
69,7122,19019,2013-03-26 18:14:26,0.39729123
69,7122,1466442,2013-03-26 18:14:26,0.22681858
69,7122,72319,2013-03-26 18:14:26,0.60144391
69,7122,87679,2013-03-26 18:14:26,0.25496879
69,7122,57267,2013-03-26 18:14:26,0.17875615
69,7122,1466443,2013-03-26 18:14:26,0.46860641
69,7122,1466444,2013-03-26 18:14:26,0.41741662
69,7122,13310,2013-03-26 18:14:26,0.41759497
69,7122,1466445,2013-03-26 18:14:26,0.55967615
69,7122,92687,2013-03-26 18:14:26,0.25311263
69,7122,92688,2013-03-26 18:14:26,0.50445575
69,7122,9147,2013-03-26 18:14:26,0.22666902
69,7122,1466446,2013-03-26 18:14:26,0.29459444
69,7122,1466447,2013-03-26 18:14:26,0.16782176
69,7122,31054,2013-03-26 18:14:26,0.31522104
69,7122,31054,2013-03-26 18:14:26,0.46654978
69,7122,1466448,2013-03-26 18:14:26,0.40083434
69,7122,3770,2013-03-26 18:14:26,0.44705842
69,7122,1466449,2013-03-26 18:14:26,0.66636725
